銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
145123118,CAL_NK225_201211_23125,CAL,202012,23125,2470,2510,25634.34,1,0.0582,22,日経225
145123218,CAL_NK225_201211_23250,CAL,202012,23250,2360,2385,25634.34,1,0.0582,22,日経225
145123318,CAL_NK225_201211_23375,CAL,202012,23375,2230,2260,25634.34,1,0.0582,22,日経225
195123518,CAL_NK225_201211_23500,CAL,202012,23500,2110,2135,25634.34,1,0.0582,22,日経225
145123618,CAL_NK225_201211_23625,CAL,202012,23625,2000,2010,25634.34,1,0.0582,22,日経225
195123718,CAL_NK225_201211_23750,CAL,202012,23750,1880,1885,25634.34,1,0.0582,22,日経225
145123818,CAL_NK225_201211_23875,CAL,202012,23875,1760,1760,25634.34,1,0.0582,22,日経225
195124018,CAL_NK225_201211_24000,CAL,202012,24000,1650,1650,25634.34,15.2863,0.0582,22,日経225
145124118,CAL_NK225_201211_24125,CAL,202012,24125,1530,1530,25634.34,15.1363,0.0582,22,日経225
195124218,CAL_NK225_201211_24250,CAL,202012,24250,1440,1440,25634.34,17.991,0.0582,22,日経225
145124318,CAL_NK225_201211_24375,CAL,202012,24375,1330,1330,25634.34,17.994,0.0582,22,日経225
195124518,CAL_NK225_201211_24500,CAL,202012,24500,1210,1210,25634.34,17.0677,0.0582,22,日経225
145124618,CAL_NK225_201211_24625,CAL,202012,24625,1130,1130,25634.34,18.6244,0.0582,22,日経225
195124718,CAL_NK225_201211_24750,CAL,202012,24750,1020,1020,25634.34,17.9935,0.0582,22,日経225
145124818,CAL_NK225_201211_24875,CAL,202012,24875,905,905,25634.34,16.9782,0.0582,22,日経225
195125018,CAL_NK225_201211_25000,CAL,202012,25000,800,800,25634.34,16.3645,0.0582,22,日経225
145125118,CAL_NK225_201211_25125,CAL,202012,25125,705,705,25634.34,16.0563,0.0582,22,日経225
195125218,CAL_NK225_201211_25250,CAL,202012,25250,665,665,25634.34,17.9073,0.0582,22,日経225
